Title,More Info,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,City,Neighborhood
Newly Built 4 Bedroom Semi Detached House With Bq,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",0,1,0,4 beds,4 baths,5 Toilets,Lekki,Agungi
Superb 4 Bedroom Semi Detached Duplex With Bq,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",0,1,0,4 beds,4 baths,5 Toilets,Lekki,Other Lekki
Furnished 2 Bedroom Terrace Duplex For Rent !!!,2 BEDROOM HOUSE FOR RENT,"3,500,000",1,0,0,2 beds,3 baths,3 Toilets,Lekki,Osapa London
2 Bedroom Apartment For Rent,2 BEDROOM HOUSE FOR RENT,"2,700,000",1,1,0,2 beds,3 baths,3 Toilets,Lekki,Ologolo
4 Bedroom Terrace Duplex For Rent,4 BEDROOM HOUSE FOR RENT,"4,000,000",1,0,0,4 beds,5 baths,5 Toilets,Lekki,Chevron
3 Bedroom Terrace Duplex Houses,3 BEDROOM HOUSE FOR RENT,"3,500,000",1,1,0,3 beds,3 baths,4 Toilets,Lekki,Chevron
5 Bedroom Duplex,5 BEDROOM HOUSE FOR RENT,"15,000,000/year",0,0,1,5 beds,6 baths,7 Toilets,Lekki,Lekki Phase 1
"Newly And Most Spaciously Built 5bedroom Duplex With Bw Located In One Of The Most Secured Estate, Estate You Enter With Code",5 BEDROOM HOUSE FOR RENT,"6,500,000",0,1,0,5 beds,6 baths,6 Toilets,Lekki,Agungi
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,"8,000,000/year",1,1,1,2 beds,2 baths,2 Toilets,Lekki,Ikate
4 Bedroom Semi Detached Duplex For Rent,4 BEDROOM HOUSE FOR RENT,"5,000,000",0,0,0,4 beds,5 baths,5 Toilets,Lekki,Chevron
4 Bedroom Semi Detached Duplex With A Bqfor Rent,4 BEDROOM HOUSE FOR RENT,"6,000,000",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Osapa London
Nicely Built 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"4,000,000/year",1,0,0,4 beds,4 baths,5 Toilets,Lekki,Other Lekki
3bedroom Apartment For Rent,3 BEDROOM HOUSE FOR RENT,"3,000,000",1,1,0,3 beds,4 baths,4 Toilets,Lekki,Chevron
Room And Parlor,1 BEDROOM FLAT / APARTMENT FOR RENT,"1,500,000/year",1,0,0,1 beds,1 baths,1 Toilets,Lekki,Lekki Phase 1
3 Bedroom Maisonette,3 BEDROOM HOUSE FOR RENT,"16,000,000/year",1,0,0,3 beds,3 baths,4 Toilets,Lekki,Lekki Phase 1
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"6,500,000/year",0,1,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
2 Bedroom Maisonette,2 BEDROOM HOUSE FOR RENT,"5,000,000/year",1,1,0,2 beds,2 baths,3 Toilets,Lekki,Ikate
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR RENT,"8,000,000/year",0,1,0,5 beds,5 baths,6 Toilets,Lekki,Ikota
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR RENT,"3,500,000/year",1,0,0,3 beds,3 baths,4 Toilets,Lekki,Ikota
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"3,500,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Other Lekki
Furnished 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,"5,500,000/year",1,1,0,2 beds,2 baths,3 Toilets,Lekki,Ikate
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,"58,000,000/year",0,1,0,2 beds,2 baths,3 Toilets,Lekki,Ikate
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"7,000,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Other Lekki
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"4,000,000/year",0,1,0,4 beds,4 baths,5 Toilets,Lekki,Ikota
4 Bedroom Penthouse,4 BEDROOM FLAT / APARTMENT FOR RENT,"8,000,000/year",1,0,0,4 beds,4 baths,5 Toilets,Lekki,Lekki Phase 1
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",0,1,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
